date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-13 10:31:28,She24111009Riya,ProthomAlo,0,0,1,"China should give good lesson to bloody India . China should be the boss of Asia ",,,,1271752036057362432,https://twitter.com/She24111009Riya/status/1271752036057362432
2020-06-13 10:30:10,mmmmwohan,,0,0,0,"India-China standoff: No headway in resolution for Pangong Lake, talks focus only on Galwan https://www.indiatoday.in/india/story/india-china-standoff-pangong-lake-galwan-ladakh-army-talks-resolution-1688515-2020-06-13 출처 @indiatoday",,@IndiaToday,,1271751712466825216,https://twitter.com/mmmmwohan/status/1271751712466825216
2020-06-13 10:26:07,TheDailyPioneer,,0,0,0,"#PioneerOpEd by #MadhukarJetley: There must be utmost transparency and the Govt must be answerable for all its actions instead of putting the blame on past regimes. #IndoChineseBorder #India #China #IndiaChinaFaceOff",,,#PioneerOpEd #MadhukarJetley #IndoChineseBorder #India #China #IndiaChinaFaceOff,1271750690918957056,https://twitter.com/TheDailyPioneer/status/1271750690918957056
2020-06-13 10:25:27,NewsX,,0,7,10,"#KaranSinghUnplugged | Hope for border settlement soon between India-China: Dr. Karan Singh (@drkaran_singh) Former Union Minister &amp; Author speaks to NewsX",,@drkaran_singh,#KaranSinghUnplugged,1271750521838161920,https://twitter.com/NewsX/status/1271750521838161920
2020-06-13 10:22:41,mmmmwohan,,1,0,0,"#RaisinaDebates | The Simmering Boundary: A “new normal” at the India–China border? https://www.orfonline.org/expert-speak/simmering-boundary-new-normal-india-china-border-67784/ 출처 @orfonline",,@orfonline,#RaisinaDebates,1271749828620333058,https://twitter.com/mmmmwohan/status/1271749828620333058
2020-06-13 10:22:05,Sandip35120023,,1,0,0,"New turn in India China border dispute Chinese diplomat linked the case to Article 370 - भारत- चीन सीमा विवाद में नया मोड़, चीनी डिप्लोमेट ने मामले को अनुच्छेद 370 से जोड़ा ",,,,1271749678011265024,https://twitter.com/Sandip35120023/status/1271749678011265024
2020-06-13 10:18:46,avpnews_live,,0,0,0,"Everything is under control: Army chief on India-China border row ",,,,1271748841700765697,https://twitter.com/avpnews_live/status/1271748841700765697
2020-06-13 10:16:57,thxgoldking,,1,0,1,"𝗜. 𝗗𝗮𝘁𝗼𝘀 𝗱𝗲 𝗹𝗮 𝗰𝗿𝗶𝗮𝘁𝘂𝗿𝗮. ᝰ ⋮ 𝗖𝗼𝗹𝗼𝗿 𝗱𝗲 𝗼𝗷𝗼𝘀: Negros. ᝰ ⋮ 𝗦𝗲𝗻𝘀𝗶𝗯𝗶𝗹𝗶𝗱𝗮𝗱: Sensible. ᝰ ⋮ 𝗘𝘀𝘁𝗮𝘁𝘂𝘀: Existente. ᝰ ⋮ 𝗡𝗮𝘁𝗶𝘃𝗼 𝗱𝗲: Egipto, India, China. »",,,,1271748385570201600,https://twitter.com/thxgoldking/status/1271748385570201600
2020-06-13 10:16:41,BigBadJohnNcle,theJeremyVine,0,0,0,"Knock down the pyramids built by slaves disband royal navy run by pressganged slave labour burn all denim madeby cotton slave labour ban any goods from india china Pakistan slave labour end zero hour contracts just to get ball rolling",,,,1271748319249862656,https://twitter.com/BigBadJohnNcle/status/1271748319249862656
2020-06-13 10:16:18,inwords_news,,0,0,0,"‘Hope all perceived differences between India, China will be set to rest’: Army chief – india news ",,,,1271748221543550977,https://twitter.com/inwords_news/status/1271748221543550977
